year,conference,title,slides
2019,LISA,Containerizing your monolith,https://speakerdeck.com/janogonzalez/containerizing-your-monolith
2019,CodeÑuble,Migrando a microservicios,https://speakerdeck.com/janogonzalez/migrando-a-microservicios
2015,StarTechConf,"¿Después de 10 años, realmente entiendo esta industria?",https://speakerdeck.com/janogonzalez/despues-de-10-anos-realmente-entiendo-esta-industria
2014,RubyConf Argentina,Microservices in practice,https://speakerdeck.com/janogonzalez/microservices-in-practice
2014,RubyNation,Two programmers in one,https://speakerdeck.com/janogonzalez/two-programmers-in-one
2013,RubyConf Argentina,The bipolar programmer,https://speakerdeck.com/janogonzalez/the-bipolar-programmer
2013,StarTechConf,The bipolar programmer,https://speakerdeck.com/janogonzalez/the-bipolar-programmer
2013,ArrrrCamp,Ruby for your two internal programmers,https://speakerdeck.com/janogonzalez/ruby-for-your-two-internal-programmers
2013,JRubyConf EU,Ruby for Java mids,https://speakerdeck.com/janogonzalez/ruby-for-java-minds
2013,RubyConf Uruguay,How Ruby programmed me,https://speakerdeck.com/janogonzalez/how-ruby-programmed-me
2012,RubyConf Argentina,¿Dónde están mis interfaces?,https://speakerdeck.com/janogonzalez/donde-estan-mis-interfaces
2011,RubyConf Uruguay,JRuby: Ruby en un mundo enterprise,https://www.slideshare.net/janogonzalez/jruby-ruby-en-un-mundo-enterprise-rubyconf-uruguay-2011
2011,StarTechConf,JRuby: Ruby en un mundo enterprise,https://www.slideshare.net/janogonzalez/jruby-ruby-en-un-mundo-enterprise
2011,Encuentro Linux,Programación políglota en la JVM,https://www.slideshare.net/janogonzalez/programacin-polglota-en-la-jvm
